Issue Type,Summary,Description,Epic Name,Epic Link,Priority,Story Points,Labels
Epic,Authentication and Role Access,"Role-aware sign-in and protected customer/admin features.",Authentication and Role Access,,Highest,,eventbook
Epic,Event Discovery and Booking,"Customer event browsing, capacity validation, booking and cancellation.",Event Discovery and Booking,,Highest,,eventbook
Epic,Administrator Event Management,"Administrator event creation and booking oversight.",Administrator Event Management,,High,,eventbook
Epic,Quality and Deployment,"Testing, CI, documentation and EC2 deployment.",Quality and Deployment,,High,,eventbook
Story,"US-01 Customer/admin login","As a customer or administrator, I want to log in so that I access capabilities appropriate to my role. Acceptance criteria: valid credentials open role-specific navigation; invalid credentials display an error.",,Authentication and Role Access,Highest,3,eventbook
Task,"Set up demo accounts and session token","Create customer/admin demo accounts and token-based session handling.",,Authentication and Role Access,Highest,1,eventbook
Task,"Implement role authorisation","Protect customer booking and admin event routes.",,Authentication and Role Access,Highest,2,eventbook
Story,"US-02 Browse events","As a customer, I want to view event information and remaining tickets so that I can choose an event. Acceptance criteria: title, date/time, venue, price and availability are visible.",,Event Discovery and Booking,Highest,2,eventbook
Story,"US-03 Book tickets","As a customer, I want to book available tickets so that I receive a confirmed reservation. Acceptance criteria: quantity is a positive whole number; capacity is not exceeded; success/error feedback is displayed.",,Event Discovery and Booking,Highest,5,eventbook
Task,"Implement server-side capacity validation","Reject invalid and over-capacity booking requests before saving data.",,Event Discovery and Booking,Highest,2,eventbook
Task,"Implement booking confirmation UI","Show booking ID and calculated total after success.",,Event Discovery and Booking,High,1,eventbook
Story,"US-05 View and cancel bookings","As a customer, I want to view and cancel my booking so that I can correct an accidental reservation. Acceptance criteria: only eligible bookings display; cancellation restores capacity.",,Event Discovery and Booking,High,3,eventbook
Story,"US-04 Create event","As an administrator, I want to create an event so that customers can book it. Acceptance criteria: required fields validate; price is non-negative; capacity is positive; success feedback displays.",,Administrator Event Management,High,4,eventbook
Story,"US-07 View all bookings","As an administrator, I want to view all bookings so that I can monitor reservations. Acceptance criteria: booking event, customer, quantity and status display.",,Administrator Event Management,Medium,2,eventbook
Task,"TC-01 to TC-10 test execution","Run and record automated and manual tests from the test plan.",,Quality and Deployment,High,3,eventbook
Task,"Configure GitHub Actions CI","Run npm test for pushes and pull requests to main.",,Quality and Deployment,High,1,eventbook
Task,"Deploy to EC2","Configure Ubuntu EC2, security group and PM2; record public URL and instance ID.",,Quality and Deployment,High,3,eventbook
